signal,mean,std,min,max
kb_trust,0.6287537673869762,0.1886696497898053,0.1581651616655427,0.7043767395303856
mouse_trust,0.7587687620373678,0.07639419275012341,0.0,0.7664583365196314
behavioural_trust,0.6555947209952296,0.15275880104465325,0.1581651648754366,0.7167930589282347
face_trust,0.5723474139394512,0.27482183441004837,0.0,0.8864732021937947
fused_trust,0.6655357091320399,0.11873571761029347,0.1581651648754366,0.7236375990453606
