model,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,heldout_test_accuracy,heldout_test_macro_f1,n_dev_rows,n_test_rows,n_users
logreg_baseline,0.32837696560418,0.062444545274875994,0.2684219054237111,0.046632664583482746,0.238231338264963,0.2294029772599091,23358,23792,10
svm_rbf_final,0.2923419246525793,0.041211857684301044,0.23457982248853684,0.03284697288032978,0.24621721587088097,0.2250056892000471,23358,23792,10
