C,gamma,fold,cv_accuracy,cv_macro_f1,n_train,n_val
50.0,0.1,1,0.37094017094017095,0.2710063852581365,18678,4680
50.0,0.1,2,0.28314028314028317,0.23346034446153907,18696,4662
50.0,0.1,3,0.3799145299145299,0.33557009838710733,18678,4680
50.0,0.1,4,0.32220795892169446,0.2639322600318447,18684,4674
50.0,0.1,5,0.271986271986272,0.23120616194378205,18696,4662
50.0,0.2,1,0.33547008547008544,0.24152419512229745,18678,4680
50.0,0.2,2,0.2681252681252681,0.22110729525533612,18696,4662
50.0,0.2,3,0.3329059829059829,0.29434485971906377,18678,4680
50.0,0.2,4,0.30937098844672656,0.24822835845677577,18684,4674
50.0,0.2,5,0.2531102531102531,0.20906598398067108,18696,4662
50.0,0.3,1,0.33632478632478635,0.24162663425101077,18678,4680
50.0,0.3,2,0.2501072501072501,0.20543526921164115,18696,4662
50.0,0.3,3,0.31794871794871793,0.2796733496645033,18678,4680
50.0,0.3,4,0.29696191698759095,0.232106720898893,18684,4674
50.0,0.3,5,0.2531102531102531,0.20708013932024052,18696,4662
80.0,0.1,1,0.3658119658119658,0.2657772024135398,18678,4680
80.0,0.1,2,0.2737022737022737,0.2245525536710807,18696,4662
80.0,0.1,3,0.36923076923076925,0.3262110100343892,18678,4680
80.0,0.1,4,0.3110825845100556,0.25601237437191177,18684,4674
80.0,0.1,5,0.2676962676962677,0.22857950712784025,18696,4662
80.0,0.2,1,0.3371794871794872,0.24153350108276106,18678,4680
80.0,0.2,2,0.26426426426426425,0.21670789453830172,18696,4662
80.0,0.2,3,0.3252136752136752,0.2881916247002928,18678,4680
80.0,0.2,4,0.30594779632006847,0.24228572012379698,18684,4674
80.0,0.2,5,0.25053625053625056,0.2050170237924815,18696,4662
80.0,0.3,1,0.33931623931623933,0.24152526415717243,18678,4680
80.0,0.3,2,0.2483912483912484,0.20359304239706638,18696,4662
80.0,0.3,3,0.3188034188034188,0.2822813548066489,18678,4680
80.0,0.3,4,0.29567821994009413,0.23101478078771417,18684,4674
80.0,0.3,5,0.25096525096525096,0.2055313949672482,18696,4662
100.0,0.1,1,0.3611111111111111,0.2619778275167667,18678,4680
100.0,0.1,2,0.27456027456027454,0.2254855643843184,18696,4662
100.0,0.1,3,0.3645299145299145,0.32084351506548625,18678,4680
100.0,0.1,4,0.3076593923833975,0.2515818250828842,18684,4674
100.0,0.1,5,0.27112827112827115,0.23023875243967723,18696,4662
100.0,0.2,1,0.33931623931623933,0.24232321675368826,18678,4680
100.0,0.2,2,0.265980265980266,0.21644406723792575,18696,4662
100.0,0.2,3,0.3260683760683761,0.28832201174482547,18678,4680
100.0,0.2,4,0.30594779632006847,0.24263731979872255,18684,4674
100.0,0.2,5,0.25139425139425137,0.20631863396010316,18696,4662
100.0,0.3,1,0.3405982905982906,0.24111031461702975,18678,4680
100.0,0.3,2,0.2488202488202488,0.20447395205835145,18696,4662
100.0,0.3,3,0.3213675213675214,0.2852263721907896,18678,4680
100.0,0.3,4,0.2995293110825845,0.235795280659167,18684,4674
100.0,0.3,5,0.25139425139425137,0.20629319291734632,18696,4662
