session_id,t_ms,label,kb_trust,mouse_trust,behavioural_trust,face_trust,fused_trust,action
global,1765165514474,-1,0.704376739317661,0.0,0.704376739317661,0.0,0.704376739317661,ALLOW
global,1765165514625,-1,0.704376739317661,0.0,0.704376739317661,0.0,0.704376739317661,ALLOW
global,1765165514771,-1,0.704376739317661,0.0,0.704376739317661,0.0,0.7043767393176609,ALLOW
global,1765165514920,-1,0.704376739317661,0.0,0.704376739317661,0.0,0.704376739317661,ALLOW
global,1765165515078,-1,0.704376739317661,0.0,0.704376739317661,0.7025980155852215,0.7042344414190659,ALLOW
global,1765165515224,-1,0.704376739317661,0.0,0.704376739317661,0.7025980155852215,0.7041395761533358,ALLOW
global,1765165515381,-1,0.704376739317661,0.0,0.704376739317661,0.7025980155852215,0.7040718152492429,ALLOW
global,1765165515526,-1,0.704376739317661,0.0,0.704376739317661,0.6999642944924859,0.7038893085165363,ALLOW
global,1765165515677,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6999642944924859,0.7045751134649021,ALLOW
global,1765165515828,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6999642944924859,0.7051237574235947,ALLOW
global,1765165515977,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6999642944924859,0.7055726479352522,ALLOW
global,1765165516128,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6999642944924859,0.7059467233616336,ALLOW
global,1765165516269,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.699127053099258,0.7062374874487799,ALLOW
global,1765165516419,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.699127053099258,0.7064867138091911,ALLOW
global,1765165516567,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.699127053099258,0.7067027099882142,ALLOW
global,1765165516737,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.699127053099258,0.706891706644859,ALLOW
global,1765165516878,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6983783802317229,0.7070408525685451,ALLOW
global,1765165517024,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6983783802317229,0.7071734267229327,ALLOW
global,1765165517171,-1,0.704376739317661,0.7664583365196314,0.7167930587580551,0.6983783802317229,0.7072920457031743,ALLOW
