FPR,TPR,threshold
0.0,0.0,inf
0.0,0.00024509803921568627,0.999940148444986
0.00024509803921568627,0.00024509803921568627,0.9999383272542212
0.00024509803921568627,0.010294117647058823,0.9999133519757764
0.0004901960784313725,0.010294117647058823,0.9999130783220458
0.0004901960784313725,0.059313725490196076,0.9998352850663216
0.0007352941176470588,0.059313725490196076,0.9998349831780012
0.0007352941176470588,0.062254901960784315,0.9998315501594198
0.000980392156862745,0.062254901960784315,0.9998309949358288
0.000980392156862745,0.10588235294117647,0.9997625581534112
0.0012254901960784314,0.10588235294117647,0.9997623844152164
0.0012254901960784314,0.10612745098039215,0.9997622456456106
0.0014705882352941176,0.10612745098039215,0.9997612678424338
0.0014705882352941176,0.10637254901960784,0.9997612407188292
0.001715686274509804,0.10637254901960784,0.999760701157147
0.001715686274509804,0.1071078431372549,0.9997599123144666
0.00196078431372549,0.1071078431372549,0.999759345813168
0.00196078431372549,0.10833333333333334,0.9997548828338888
0.0022058823529411764,0.10833333333333334,0.9997542435390392
0.0022058823529411764,0.11225490196078432,0.9997446243996602
0.0024509803921568627,0.11225490196078432,0.9997444911531438
0.0024509803921568627,0.1125,0.9997434705442152
0.002696078431372549,0.1125,0.9997428754162924
0.002696078431372549,0.11715686274509804,0.9997308864094664
0.0029411764705882353,0.11715686274509804,0.9997299002179508
0.0029411764705882353,0.12524509803921569,0.999711721599368
0.0031862745098039215,0.12524509803921569,0.9997114780685996
0.0031862745098039215,0.1303921568627451,0.9996983615247732
0.003431372549019608,0.1303921568627451,0.9996973946525616
0.003431372549019608,0.13651960784313724,0.999685651192128
0.003676470588235294,0.13651960784313724,0.999683565590205
0.003676470588235294,0.13725490196078433,0.999682795528782
0.00392156862745098,0.13725490196078433,0.9996825267889736
0.00392156862745098,0.1392156862745098,0.9996788799827444
0.004166666666666667,0.1392156862745098,0.9996783996488712
0.004166666666666667,0.14191176470588235,0.9996728819758588
0.004411764705882353,0.14191176470588235,0.9996724595182556
0.004411764705882353,0.1450980392156863,0.999667217020122
0.004656862745098039,0.1450980392156863,0.9996658542048156
0.004656862745098039,0.14681372549019608,0.9996629192803876
0.004901960784313725,0.14681372549019608,0.9996628943704792
0.004901960784313725,0.15122549019607842,0.999655019340916
0.005147058823529412,0.15122549019607842,0.99965452242648
0.005147058823529412,0.15931372549019607,0.9996353410412128
0.005392156862745098,0.15931372549019607,0.999634943667774
0.005392156862745098,0.16225490196078432,0.9996265429679472
0.005637254901960784,0.16225490196078432,0.9996255652263994
0.005637254901960784,0.17524509803921567,0.9995896035846068
0.0058823529411764705,0.17524509803921567,0.9995887856937664
0.0058823529411764705,0.18112745098039215,0.9995753764032682
0.006127450980392157,0.18112745098039215,0.9995728910888616
0.006127450980392157,0.1857843137254902,0.9995550769502154
0.006372549019607843,0.1857843137254902,0.9995543454157392
0.006372549019607843,0.18725490196078431,0.999547306742286
0.006617647058823529,0.18725490196078431,0.9995471421172676
0.006617647058823529,0.19387254901960785,0.9995338354077166
0.006862745098039216,0.19387254901960785,0.9995336512965904
0.006862745098039216,0.19705882352941176,0.9995220924117564
0.007107843137254902,0.19705882352941176,0.9995219187019332
0.007107843137254902,0.19926470588235295,0.9995144461231812
0.007352941176470588,0.19926470588235295,0.9995137281983424
0.007352941176470588,0.2,0.9995108372049144
0.007598039215686274,0.2,0.9995101049973356
0.007598039215686274,0.20612745098039215,0.9994919424796692
0.00784313725490196,0.20612745098039215,0.999491295399098
0.00784313725490196,0.20955882352941177,0.9994839610775392
0.008088235294117648,0.20955882352941177,0.9994821913064486
0.008088235294117648,0.2122549019607843,0.9994686252090582
0.008333333333333333,0.2122549019607843,0.9994673255283162
0.008333333333333333,0.2125,0.9994672756826848
0.00857843137254902,0.2125,0.9994665414256508
0.00857843137254902,0.22647058823529412,0.9993998315665564
0.008823529411764706,0.22647058823529412,0.9993993629147108
0.008823529411764706,0.22941176470588234,0.9993830666532492
0.009068627450980393,0.22941176470588234,0.9993804784111996
0.009068627450980393,0.23308823529411765,0.9993655070756052
0.009313725490196078,0.23308823529411765,0.9993647215696204
0.009313725490196078,0.2446078431372549,0.999310447498888
0.009558823529411765,0.2446078431372549,0.9993103895412642
0.009558823529411765,0.24754901960784315,0.9992982714731112
0.00980392156862745,0.24754901960784315,0.9992980673055613
0.00980392156862745,0.25220588235294117,0.9992693723243208
0.010049019607843138,0.25220588235294117,0.999268235110483
0.010049019607843138,0.2563725490196078,0.9992473553764568
0.010294117647058823,0.2563725490196078,0.9992472938705242
0.010294117647058823,0.25980392156862747,0.9992239048619432
0.01053921568627451,0.25980392156862747,0.999223879686568
0.01053921568627451,0.2629901960784314,0.9992108920110574
0.010784313725490196,0.2629901960784314,0.9992105071824042
0.010784313725490196,0.27034313725490194,0.999175694384364
0.011274509803921568,0.27034313725490194,0.9991727619192794
0.011274509803921568,0.2740196078431373,0.9991465377064124
0.011519607843137256,0.2740196078431373,0.9991454427962664
0.011519607843137256,0.27450980392156865,0.9991398944312628
0.011764705882352941,0.27450980392156865,0.9991393581391204
0.011764705882352941,0.27475490196078434,0.9991385444727974
0.012009803921568628,0.27475490196078434,0.9991377366715726
0.012009803921568628,0.27647058823529413,0.9991306179611316
0.012254901960784314,0.27647058823529413,0.9991288887897124
0.012254901960784314,0.27769607843137256,0.9991243092055508
0.0125,0.27769607843137256,0.9991216620036468
0.0125,0.27941176470588236,0.9991145088667956
0.012745098039215686,0.27941176470588236,0.9991141144708896
0.012745098039215686,0.2943627450980392,0.999014083156756
0.012990196078431373,0.2943627450980392,0.9990066030250094
