threshold,FAR,FRR
0.0,1.0,0.0
0.005,0.2889705882352941,0.08259803921568627
0.01,0.26838235294117646,0.08970588235294118
0.015,0.25735294117647056,0.0928921568627451
0.02,0.25,0.09485294117647058
0.025,0.24534313725490195,0.09975490196078432
0.03,0.24166666666666667,0.10245098039215686
0.035,0.2375,0.10588235294117647
0.04,0.2338235294117647,0.10857843137254902
0.045,0.23161764705882354,0.11004901960784313
0.05,0.22941176470588234,0.11225490196078432
0.055,0.22745098039215686,0.11323529411764706
0.06,0.22475490196078432,0.11495098039215686
0.065,0.22156862745098038,0.1161764705882353
0.07,0.21887254901960784,0.1178921568627451
0.075,0.21593137254901962,0.11887254901960784
0.08,0.2142156862745098,0.12083333333333333
0.085,0.21274509803921568,0.12181372549019608
0.09,0.21151960784313725,0.12254901960784313
0.095,0.20931372549019608,0.12352941176470589
0.1,0.20857843137254903,0.12450980392156863
0.105,0.20612745098039215,0.12622549019607843
0.11,0.20563725490196078,0.12696078431372548
0.115,0.20441176470588235,0.1284313725490196
0.12,0.20269607843137255,0.12916666666666668
0.125,0.20147058823529412,0.13014705882352942
0.13,0.20073529411764707,0.13137254901960785
0.135,0.19950980392156864,0.13186274509803922
0.14,0.19901960784313724,0.1321078431372549
0.145,0.19877450980392156,0.13308823529411765
0.15,0.19754901960784313,0.13333333333333333
0.155,0.19681372549019607,0.1340686274509804
0.16,0.1965686274509804,0.13431372549019607
0.165,0.19534313725490196,0.13504901960784313
0.17,0.19509803921568628,0.13602941176470587
0.17500000000000002,0.1948529411764706,0.13700980392156864
0.18,0.19362745098039216,0.1377450980392157
0.185,0.19338235294117648,0.13799019607843138
0.19,0.19264705882352942,0.13872549019607844
0.195,0.191421568627451,0.13872549019607844
0.2,0.1906862745098039,0.13970588235294118
0.20500000000000002,0.19044117647058822,0.13995098039215687
0.21,0.19044117647058822,0.14044117647058824
0.215,0.18970588235294117,0.1411764705882353
0.22,0.18872549019607843,0.14166666666666666
0.225,0.18799019607843137,0.14240196078431372
0.23,0.18676470588235294,0.14338235294117646
0.23500000000000001,0.18627450980392157,0.1448529411764706
0.24,0.1857843137254902,0.14534313725490197
0.245,0.1843137254901961,0.14534313725490197
0.25,0.1843137254901961,0.14558823529411766
0.255,0.18284313725490195,0.14607843137254903
0.26,0.1821078431372549,0.14681372549019608
0.265,0.1818627450980392,0.14730392156862746
0.27,0.18063725490196078,0.14779411764705883
0.275,0.17941176470588235,0.14901960784313725
0.28,0.17769607843137256,0.14901960784313725
0.28500000000000003,0.17769607843137256,0.1497549019607843
0.29,0.17745098039215687,0.15122549019607842
0.295,0.17647058823529413,0.15220588235294116
0.3,0.17524509803921567,0.15245098039215688
0.305,0.17450980392156862,0.15269607843137256
0.31,0.17352941176470588,0.15294117647058825
0.315,0.17279411764705882,0.153921568627451
0.32,0.17205882352941176,0.15416666666666667
0.325,0.1713235294117647,0.15465686274509804
0.33,0.17107843137254902,0.15490196078431373
0.335,0.17083333333333334,0.1553921568627451
0.34,0.17009803921568628,0.15637254901960784
0.34500000000000003,0.16838235294117648,0.15735294117647058
0.35000000000000003,0.1681372549019608,0.15808823529411764
0.355,0.16789215686274508,0.15833333333333333
0.36,0.16789215686274508,0.1588235294117647
0.365,0.1674019607843137,0.15931372549019607
0.37,0.16715686274509803,0.15980392156862744
0.375,0.16642156862745097,0.16053921568627452
0.38,0.1661764705882353,0.16127450980392158
0.385,0.1661764705882353,0.16200980392156863
0.39,0.16544117647058823,0.1625
0.395,0.1644607843137255,0.16323529411764706
0.4,0.16397058823529412,0.1642156862745098
0.405,0.16323529411764706,0.1642156862745098
0.41000000000000003,0.1627450980392157,0.1642156862745098
0.41500000000000004,0.1627450980392157,0.1644607843137255
0.42,0.16200980392156863,0.16568627450980392
0.425,0.16176470588235295,0.16666666666666666
0.43,0.1607843137254902,0.16789215686274508
0.435,0.15980392156862744,0.16887254901960785
0.44,0.15931372549019607,0.16887254901960785
0.445,0.1588235294117647,0.1698529411764706
0.45,0.158578431372549,0.17058823529411765
0.455,0.15759803921568627,0.17107843137254902
0.46,0.1571078431372549,0.17181372549019608
0.465,0.15661764705882353,0.17254901960784313
0.47000000000000003,0.15612745098039216,0.17254901960784313
0.47500000000000003,0.15514705882352942,0.1730392156862745
0.48,0.15490196078431373,0.17352941176470588
0.485,0.15416666666666667,0.17450980392156862
0.49,0.1536764705882353,0.175
0.495,0.15318627450980393,0.17549019607843136
0.5,0.15269607843137256,0.17573529411764705
0.505,0.15245098039215688,0.17573529411764705
0.51,0.15220588235294116,0.17598039215686276
0.515,0.15220588235294116,0.17671568627450981
0.52,0.15196078431372548,0.17769607843137256
0.525,0.1514705882352941,0.17916666666666667
0.53,0.15098039215686274,0.17990196078431372
0.535,0.15073529411764705,0.1803921568627451
0.54,0.15024509803921568,0.1803921568627451
0.545,0.14926470588235294,0.18063725490196078
0.55,0.14926470588235294,0.1818627450980392
0.555,0.14901960784313725,0.18235294117647058
0.56,0.14779411764705883,0.18259803921568626
0.5650000000000001,0.14730392156862746,0.18284313725490195
0.5700000000000001,0.1463235294117647,0.183578431372549
0.5750000000000001,0.14583333333333334,0.1843137254901961
0.58,0.14558823529411766,0.18504901960784315
0.585,0.1448529411764706,0.1860294117647059
0.59,0.14387254901960783,0.18627450980392157
0.595,0.14338235294117646,0.1875
0.6,0.1428921568627451,0.18848039215686274
0.605,0.14215686274509803,0.1889705882352941
0.61,0.14142156862745098,0.1889705882352941
0.615,0.1409313725490196,0.18946078431372548
0.62,0.14068627450980392,0.19019607843137254
0.625,0.14068627450980392,0.1906862745098039
0.63,0.14019607843137255,0.1906862745098039
0.635,0.13970588235294118,0.191421568627451
0.64,0.1392156862745098,0.19191176470588237
0.645,0.13848039215686275,0.19264705882352942
0.65,0.1377450980392157,0.19338235294117648
0.655,0.1375,0.19411764705882353
0.66,0.13676470588235295,0.19436274509803922
0.665,0.13651960784313724,0.19534313725490196
0.67,0.13602941176470587,0.19558823529411765
0.675,0.13529411764705881,0.19607843137254902
0.68,0.13455882352941176,0.19681372549019607
0.685,0.13431372549019607,0.1980392156862745
