precision,recall
0.5,1.0
0.4989689658727704,0.948921568627451
0.49894313553642317,0.9488235294117647
0.4989173025366055,0.9487254901960784
0.49889146687290536,0.9486274509803921
0.4988656285449108,0.9485294117647058
0.49883978755220953,0.9484313725490197
0.49881394389438943,0.9483333333333334
0.4987880975710381,0.9482352941176471
0.4987622485817432,0.9481372549019608
0.4987363969260921,0.9480392156862745
0.49871054260367237,0.9479411764705883
0.4986846856140713,0.947843137254902
0.4986588259568761,0.9477450980392157
0.498632963631674,0.9476470588235294
0.498607098638052,0.9475490196078431
0.4985812309755972,0.9474509803921569
0.4985553606438964,0.9473529411764706
0.4985294876425365,0.9472549019607843
0.4985036119711042,0.947156862745098
0.49847773362918624,0.9470588235294117
0.4984518526163691,0.9469607843137255
0.4984259689322392,0.9468627450980392
0.49840008257638313,0.946764705882353
0.4983741935483871,0.9466666666666667
0.4983483018478373,0.9465686274509804
0.49832240747431994,0.9464705882352941
0.498296510427421,0.9463725490196079
0.49827061070672657,0.9462745098039216
0.4982447083118224,0.9461764705882353
0.4982188032422944,0.946078431372549
0.4981928954977282,0.9459803921568627
0.4981669850777095,0.9458823529411765
0.49814107198182384,0.9457843137254902
0.4981151562096566,0.9456862745098039
0.4980892377607932,0.9455882352941176
0.498063316634819,0.9454901960784313
0.4980373928313191,0.9453921568627451
0.49801146634987864,0.9452941176470588
0.49798553719008265,0.9451960784313725
0.49795960535151607,0.9450980392156862
0.49793367083376383,0.945
0.4979077336364106,0.9449019607843138
0.4978817937590411,0.9448039215686275
0.49785585120124,0.9447058823529412
0.4978299059625917,0.9446078431372549
0.49780395804268074,0.9445098039215686
0.4983703243830514,0.9444117647058824
0.49834437086092714,0.9443137254901961
0.498318414653076,0.9442156862745098
0.49829245575908104,0.9441176470588235
0.4982664941785252,0.9440196078431372
0.4982405299109915,0.943921568627451
0.4982145629560627,0.9438235294117647
0.4981885933133216,0.9437254901960784
0.4981626209823508,0.9436274509803921
0.49813664596273294,0.9435294117647058
0.4981106682540504,0.9434313725490197
0.4980846878558857,0.9433333333333334
0.4980587047678211,0.9432352941176471
0.4980327189894388,0.9431372549019608
0.498006730520321,0.9430392156862745
0.4979807393600497,0.9429411764705883
0.4979547455082069,0.942843137254902
0.4979287489643745,0.9427450980392157
0.4979027497281342,0.9426470588235294
0.4978767477990678,0.9425490196078431
0.4978507431767569,0.9424509803921569
0.4978247358607831,0.9423529411764706
0.4977987258507277,0.9422549019607843
0.49777271314617216,0.942156862745098
0.4977466977466977,0.9420588235294117
0.4977206796518856,0.9419607843137255
0.4976946588613169,0.9418627450980392
0.49766863537457257,0.941764705882353
0.4976426091912336,0.9416666666666667
0.49761658031088085,0.9415686274509804
0.497590548733095,0.9414705882352942
0.49756451445745675,0.9413725490196079
0.4975384774835467,0.9412745098039216
0.4984425293323642,0.9412745098039216
0.4984164892788536,0.9411764705882353
0.49839044652128767,0.941078431372549
0.498364401059245,0.9409803921568628
0.4983383528923045,0.9408823529411765
0.4983123020200447,0.9407843137254902
0.49828624844204406,0.9406862745098039
0.4982601921578811,0.9405882352941176
0.4982341331671341,0.9404901960784313
0.4982080714693814,0.9403921568627451
0.4981820070642011,0.9402941176470588
0.49815593995117136,0.9401960784313725
0.49812987012987014,0.9400980392156862
0.49810379759987533,0.94
0.49807772236076475,0.9399019607843138
0.4980516444121162,0.9398039215686275
0.4980255637535072,0.9397058823529412
0.49799948038451547,0.9396078431372549
0.4979733943047184,0.9395098039215686
0.4979473055136933,0.9394117647058824
0.4979212140110176,0.9393137254901961
0.4978951197962684,0.9392156862745098
0.49786902286902285,0.9391176470588235
0.49784292322885804,0.9390196078431372
0.49781682087535084,0.938921568627451
0.4977907158080782,0.9388235294117647
0.49776460802661676,0.9387254901960784
0.4977384975305433,0.9386274509803921
0.4977123843194343,0.9385294117647058
0.49768626839286645,0.9384313725490196
0.49766014975041595,0.9383333333333334
0.4976340283916593,0.9382352941176471
0.49760790431617263,0.9381372549019608
0.49758177752353216,0.9380392156862745
0.4975556480133139,0.9379411764705883
0.49752951578509386,0.937843137254902
0.4975033808384479,0.9377450980392157
0.4974772431729519,0.9376470588235294
0.49745110278818144,0.9375490196078431
0.4974249596837122,0.9374509803921569
0.4976836187600854,0.9373529411764706
0.4976574700676731,0.9372549019607843
0.49763131865271487,0.937156862745098
0.4976051645147855,0.9370588235294117
0.4975790076534597,0.9369607843137255
0.49755284806831196,0.9368627450980392
0.49752668575891695,0.9367647058823529
0.497500520724849,0.9366666666666666
0.49747435296568243,0.9365686274509804
0.49744818248099154,0.9364705882352942
0.4974220092703505,0.9363725490196079
0.4973958333333333,0.9362745098039216
0.49736965466951405,0.9361764705882353
0.4973434732784665,0.936078431372549
0.49731728915976453,0.9359803921568628
0.49729110231298185,0.9358823529411765
0.49726491273769213,0.9357843137254902
0.4972387204334688,0.9356862745098039
0.49721252539988536,0.9355882352941176
0.4971863276365152,0.9354901960784314
0.49716012714293156,0.9353921568627451
0.49713392391870764,0.9352941176470588
0.4971077179634165,0.9351960784313725
0.49708150927663125,0.9350980392156862
0.4970552978579246,0.935
0.4970290837068696,0.9349019607843138
0.49700286682303885,0.9348039215686275
0.496976647206005,0.9347058823529412
0.4969504248553407,0.9346078431372549
0.4969241997706183,0.9345098039215687
0.4968979719514102,0.9344117647058824
0.49687174139728885,0.9343137254901961
0.4968455081078263,0.9342156862745098
0.49681927208259463,0.9341176470588235
0.496793033321166,0.9340196078431372
0.49676679182311223,0.933921568627451
0.49725920125293654,0.9338235294117647
0.4972329539521771,0.9337254901960784
0.4972067039106145,0.9336274509803921
0.49718045112781956,0.9335294117647058
0.49715419560336277,0.9334313725490196
0.4971279373368146,0.9333333333333333
0.4971016763277456,0.933235294117647
0.4970754125757259,0.9331372549019608
0.4970491460803259,0.9330392156862745
0.4970228768411156,0.9329411764705883
