user_id,features,input_dim,n_train,n_val,epochs_run,best_val_loss,train_csv,val_csv,model_type
s015,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6853886246681213,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s016,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7014102339744568,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s017,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7708002328872681,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s018,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.556187093257904,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s019,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7149305939674377,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s020,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7542490363121033,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s021,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6292258501052856,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s022,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6327449083328247,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s024,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7749949097633362,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s025,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6671475172042847,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s026,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7410260438919067,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s027,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7237581014633179,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s028,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.7139283418655396,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s029,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.5903427600860596,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s030,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.5628656148910522,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
s031,"['dwell_mean', 'dwell_std', 'dwell_p10', 'dwell_p50', 'dwell_p90', 'dd_mean', 'dd_std', 'dd_p10', 'dd_p50', 'dd_p90', 'ud_mean', 'ud_std', 'ud_p10', 'ud_p50', 'ud_p90', 'backspace_rate', 'burst_mean', 'idle_frac']",18,240,80,40,0.6209894418716431,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_train_windows.csv,/Users/hitesh/Desktop/Continuous-Authentication-to-Detect-Session-Hijacking-in-Remote-Work-Environments/Data/keyboard_val_windows.csv,per_user_cae_baseline
