model,cv_mean_accuracy,cv_std_accuracy,cv_mean_macro_f1,cv_std_macro_f1,heldout_test_accuracy,heldout_test_macro_f1,n_dev_rows,n_test_rows,n_users
logreg_baseline,0.4702926210225038,0.076850175,0.4519667523490291,0.080481723,0.516421569,0.5010857171334943,16320,4080,51
svm_rbf_final,0.5087478397682903,0.077408087,0.496054951,0.078971608,0.5997549019607843,0.5931401299131881,16320,4080,51
